id,complexity_level,problem,answer,inference_depth,relation_count,explicit_relations_count,implicit_relations_count,domain_knowledge_count,solution_steps_count
L0_001,L0_explicit,老师要把28个书本平均分给7个学生。每个学生能分到多少个书本？,4,1,1,2,0,0,1
L0_002,L0_explicit,小明有35个书本，小红有8个书本。他们一共有多少个书本？,43,1,1,2,0,0,1
L0_003,L0_explicit,小明有27个苹果，小红有22个苹果。他们一共有多少个苹果？,49,1,1,2,0,0,1
L0_004,L0_explicit,小明有13个糖果，小红有6个糖果。他们一共有多少个糖果？,19,1,1,2,0,0,1
L0_005,L0_explicit,一本书有206页，小李已经读了137页。还剩多少页没读？,69,1,1,2,0,0,1
L0_006,L0_explicit,一本书有134页，小李已经读了34页。还剩多少页没读？,100,1,1,2,0,0,1
L0_007,L0_explicit,商店里有10排货架，每排有14个商品。商店总共有多少个商品？,140,1,1,2,0,0,1
L0_008,L0_explicit,老师要把40个橡皮平均分给4个学生。每个学生能分到多少个橡皮？,10,1,1,2,0,0,1
L0_009,L0_explicit,小明有28个橘子，小红有25个橘子。他们一共有多少个橘子？,53,1,1,2,0,0,1
L0_010,L0_explicit,商店里有6排货架，每排有15个商品。商店总共有多少个商品？,90,1,1,2,0,0,1
L0_011,L0_explicit,商店里有9排货架，每排有11个商品。商店总共有多少个商品？,99,1,1,2,0,0,1
L0_012,L0_explicit,一本书有290页，小李已经读了201页。还剩多少页没读？,89,1,1,2,0,0,1
L0_013,L0_explicit,一本书有149页，小李已经读了41页。还剩多少页没读？,108,1,1,2,0,0,1
L0_014,L0_explicit,小明有38个橘子，小红有16个橘子。他们一共有多少个橘子？,54,1,1,2,0,0,1
L0_015,L0_explicit,小明有15个苹果，小红有5个苹果。他们一共有多少个苹果？,20,1,1,2,0,0,1
L0_016,L0_explicit,商店里有3排货架，每排有15个商品。商店总共有多少个商品？,45,1,1,2,0,0,1
L0_017,L0_explicit,老师要把9个书本平均分给3个学生。每个学生能分到多少个书本？,3,1,1,2,0,0,1
L0_018,L0_explicit,商店里有9排货架，每排有13个商品。商店总共有多少个商品？,117,1,1,2,0,0,1
L0_019,L0_explicit,一本书有211页，小李已经读了196页。还剩多少页没读？,15,1,1,2,0,0,1
L0_020,L0_explicit,小明有22个铅笔，小红有13个铅笔。他们一共有多少个铅笔？,35,1,1,2,0,0,1
L0_021,L0_explicit,老师要把70个橡皮平均分给7个学生。每个学生能分到多少个橡皮？,10,1,1,2,0,0,1
L0_022,L0_explicit,一本书有298页，小李已经读了139页。还剩多少页没读？,159,1,1,2,0,0,1
L0_023,L0_explicit,小明有14个糖果，小红有14个糖果。他们一共有多少个糖果？,28,1,1,2,0,0,1
L0_024,L0_explicit,一本书有238页，小李已经读了38页。还剩多少页没读？,200,1,1,2,0,0,1
L0_025,L0_explicit,商店里有4排货架，每排有10个商品。商店总共有多少个商品？,40,1,1,2,0,0,1
L0_026,L0_explicit,老师要把42个橡皮平均分给6个学生。每个学生能分到多少个橡皮？,7,1,1,2,0,0,1
L0_027,L0_explicit,小明有43个书本，小红有23个书本。他们一共有多少个书本？,66,1,1,2,0,0,1
L0_028,L0_explicit,老师要把30个贴纸平均分给6个学生。每个学生能分到多少个贴纸？,5,1,1,2,0,0,1
L0_029,L0_explicit,商店里有5排货架，每排有7个商品。商店总共有多少个商品？,35,1,1,2,0,0,1
L0_030,L0_explicit,老师要把21个贴纸平均分给7个学生。每个学生能分到多少个贴纸？,3,1,1,2,0,0,1
L1_001,L1_shallow,一个正方形的边长是8分米。这个正方形的面积是多少平方厘米？,6400,2,2,1,2,2,2
L1_002,L1_shallow,一个正方形的边长是3分米。这个正方形的面积是多少平方厘米？,900,2,2,1,2,2,2
L1_003,L1_shallow,小王买了2公斤橘子，每公斤22元。他总共花了多少钱？,44,2,2,2,1,1,2
